,EURUSD,GBPUSD,USDJPY,AUDUSD,NZDUSD,USDCAD,USDCHF,USDNOK,USDSEK
2000-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,0.005060077008405273,-0.0001185688437939092,0.01752122878074225,-0.005344962540121401,-0.01074406178783427,0.004170150026600261,-0.006047050996219383,0.0073928695915608245,0.0006036664375841383
2000-01-05,0.002324829558749464,0.004031549817118396,0.009098052676439927,0.004401178136887118,0.0015216203629879743,-0.0018978715207591534,-0.0054389074963454576,-0.0004867091254370237,-0.001570671504697252
2000-01-06,0.0005750946692852921,0.0029229589845893855,0.010636726528515439,-0.00703377030540242,-0.010844148272347809,0.006840465633674242,0.0031291787796092763,-0.00012195629527411711,0.0006621859312279099
2000-01-07,-0.003301627832559717,-0.0049265880106279525,0.0012690831477684128,0.0024286758520712937,0.00560249840825211,-0.0027794993514866917,0.007475381665903669,0.004127589040882285,0.005430073027609339
2000-01-10,-0.003900912019430436,-0.001155704470724217,-0.0014874171576426676,0.001814142109944683,-0.003309400782187666,3.149741878960555e-05,0.00322491787555812,0.004683592551632643,0.0038634729706865656
2000-01-11,0.007668463624520783,0.006155760287641421,0.007709097523840747,0.002573960786113716,0.004237364339279459,0.000925581046543833,-0.006936990417826472,-0.006683920334348947,-0.0060469222776964315
2000-01-12,-0.002716650933548337,-0.0005415744042176485,-0.0012866713230952342,0.0013533325780965555,0.0024874638345728783,-0.002095851277181815,0.0027885126685260886,-0.00037484301472634485,0.00027165412444762893
2000-01-13,-0.005063861936142722,0.00036846355144604104,0.0038093967356509495,0.013858353063842088,0.007845894098837292,-0.002242463671002781,0.0059065086701375336,-0.001683695009781161,0.0022574568021695995
2000-01-14,-0.013454198713321652,-0.00970067832589816,-0.0026051286155439612,-0.0033143114832521192,-0.004041443755182783,-0.0005195037960001869,0.01475690331749746,0.006730335967279899,0.007008288419533493
2000-01-17,-0.0001040146673574327,0.0012270064819634996,-0.008980814283245486,-0.002270391180148934,-0.003479339641622836,-0.00024351150026902246,0.0009757631158464619,0.0037338558619968154,-0.001005690868621123
2000-01-18,0.0013800035525219911,0.002814997259301677,0.007538167382203476,0.0017907583064360466,-0.005230990258759505,0.0007229820054224234,-0.0026027726551483,-0.005972593094877965,-0.0006901211084295866
2000-01-19,-0.0004980154129423653,0.0043281431276591675,-0.0030938863329907917,-0.0024228512054556006,-0.0040882405021749335,0.001064550722760238,0.0011023501214229015,0.0011430944432335721,0.002038004025127549
2000-01-20,0.0033451926951268973,0.00528045738312688,0.0016481348869934465,0.002996358410958244,0.0001790424133494284,-0.0036279081606984676,-0.005129490983742713,-0.0033723690775762094,-0.00269006602982369
2000-01-21,-0.007012097638453341,-0.0030253381142442137,-0.0063388166897961895,-0.004380051743743785,-0.006449143643997068,-0.0035743346500654027,0.007513893301328345,0.004578567582850468,0.003910690517141546
2000-01-24,-0.002682086863073252,0.002670362637918089,0.007735662899866824,-0.013075693770579377,-0.010236292542542103,0.0016247421886914637,0.002409211425201896,0.0007024641789499242,0.004941251677302638
2000-01-25,-0.006377460340342367,-0.004788418845484976,0.004666790001695453,0.001667449937108323,0.0037337558231556045,-0.0051810481258822705,0.00713329506630167,0.005076488642867361,0.0037036717757947812
2000-01-26,0.0008997450120293848,-0.0029793045302737298,-0.0033644857372703285,-0.004752347978766558,-0.0006092621667317388,0.0022548211382051875,-0.0005260748759399192,0.0022406603615099385,-0.005224257069811777
2000-01-27,-0.01386746405047834,-0.0004235958089946479,-0.00489931295235202,0.002744891172679509,-0.006931391461240111,-0.003242507074793899,0.014219121290307335,0.00965728033032942,0.01197413619756027
2000-01-28,-0.013857399512228419,-0.011963801090043802,0.019166997289890908,-0.02965857826085916,-0.02491334238290488,0.008086639038497268,0.011238516254557851,0.018834386162733807,0.029139587162920755
2000-01-31,-0.004210668874349288,-0.002408801533980487,0.00200027124462121,0.0031246668191551308,0.009893053185634493,0.0010662602516058328,0.004201160003672655,0.004263609989893169,-0.0011566686905535306
2000-02-01,0.00031195563994224074,-0.0007398905484290452,0.005155564223451314,-0.007262528397179224,-0.006474756474166732,0.0005126668916819455,-0.00021134778787157416,-0.006163573081713558,-0.008843180662373662
2000-02-02,0.005447251901222749,-0.003846799458569805,0.0030996922642518854,0.010213456977692381,0.0060436212089900465,-0.00835773031444198,-0.0040193312980951745,-0.004944919760818678,-0.004905879429937698
2000-02-03,0.013026845911292106,-0.007235750952635733,-0.005333202614373533,-0.00645202329645489,-0.004253735952274518,0.0037850930111558156,-0.016106251764265167,-0.006499359556741524,-0.019928060176119367
2000-02-04,-0.006386814638587701,-0.0033844780054206325,-0.003218434724890251,0.0050199124835392794,0.003820268387422665,-0.0007312761836590909,0.00714172183681594,0.0030452215607708055,0.006982196903217108
2000-02-07,-0.0018309103157196915,0.003889866316802326,0.013481168637104801,-0.006775550759059001,-0.0050577508939717575,0.005430457455343429,0.0019783641044082145,0.004069861350404658,-0.0002827008725923008
2000-02-08,0.003972174158904274,0.008294524205723519,0.008023097633252263,-0.0031741461330021536,-0.0050845459440065355,-0.0030118691590521607,-0.0036477355613753204,-0.006408988877441679,-0.0025737642555823115
2000-02-09,0.008692661244396938,0.003475838536953546,-0.006003638686848944,0.007086050854246295,0.004863405690024081,-0.00010682805822614938,-0.007854009331056844,-0.006832059712241545,-0.008397044743260196
2000-02-10,-0.008992826706709423,-0.0044589461521429286,0.004630514624156312,-0.015382185753690436,-0.009576287228171942,0.0030058629522393687,0.007226469002290514,0.0052313649847306465,0.007405795461769671
