0,EURUSD,GBPUSD,USDJPY,AUDUSD,NZDUSD,USDCAD,USDCHF,USDNOK,USDSEK
2019-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01 00:01:00,0.0,0.0,-5.542827582516452e-05,0.0,-1.6022944857474464e-05,4.5289171366980074e-05,6.004924039521367e-05,3.0732149562506805e-05,5.075740196236467e-05
2019-10-01 00:02:00,9.185266838478146e-05,8.141068438316523e-05,-3.695389078650635e-05,7.419003037778538e-05,3.2045632984145644e-05,-0.00010567792398008535,-8.006645520063408e-05,-8.780864745183692e-05,-0.00012182209319622217
2019-10-01 00:03:00,0.00011939585710536715,2.4421912969835313e-05,-9.238686074830582e-06,8.902077157219024e-05,3.2044606094294714e-05,-7.548850498861892e-06,-2.001761550221885e-05,-6.147064120209933e-05,-1.7259330064245404e-05
2019-10-01 00:04:00,4.5917687960736475e-05,5.6982144253314715e-05,-1.8477628211499564e-05,8.901284757972805e-05,0.00011214803552445085,0.0,0.0,1.9758832473293353e-05,5.482272464218951e-05
2019-10-01 00:05:00,-3.673398169228015e-05,-6.512271564013128e-05,4.61934303785938e-05,8.900492499802626e-05,0.00014417185309822944,-6.03928555434341e-05,0.0,1.097701467944745e-06,6.091228326621234e-06
2019-10-01 00:06:00,-9.183706268456326e-06,8.140571386816564e-06,8.314279780297085e-05,-0.00019285401752450193,-0.0001281517318256209,6.794170604229599e-05,1.0008857839336827e-05,9.87925898954245e-06,4.568302982876915e-05
2019-10-01 00:07:00,9.183706268456326e-06,0.0,-3.6951501159343536e-05,2.9672269782510252e-05,0.0,4.529190634405822e-05,-1.0008857839336827e-05,3.2930646414186526e-06,-1.725778821226598e-05
2019-10-01 00:08:00,9.183621928782193e-06,0.0,-9.238088638952036e-06,0.00010384601129387327,8.009675692510765e-05,-0.00012078297578638209,-1.0008958017574711e-05,-3.2930646414186526e-06,-3.4516469943124406e-05
2019-10-01 00:09:00,3.673364434902959e-05,4.8842036722590576e-05,-0.00011086372088531249,7.416912046237512e-05,6.407278670766958e-05,0.0,-5.004629283129945e-05,-1.0976906232862405e-06,-3.654814914488824e-05
2019-10-01 00:10:00,9.183200253573554e-06,8.140107530724139e-06,4.6194710713542975e-05,4.449883191298687e-05,-1.6017811807156335e-05,7.549363400027875e-06,0.0,-3.2931279009940084e-05,-1.4213529859308238e-05
2019-10-01 00:11:00,9.183115922989371e-06,1.6280016280484366e-05,7.390709881072155e-05,0.00014831514028135206,8.008649345564445e-05,0.0,6.0055250848874164e-05,3.951740467744713e-05,1.0152588325595957e-06
2019-10-01 00:12:00,9.183031594348079e-06,0.0,-9.238472702222111e-05,-5.93234164528722e-05,0.0,0.0,-7.006480997799147e-05,-0.00012953510090030207,-1.7259540338265822e-05
2019-10-01 00:13:00,0.0,5.697796989037607e-05,2.7716314286330146e-05,0.00022244466780635408,0.00014413952731184843,-7.549619880226066e-05,0.0,-0.00014492355856576822,-1.5229253568893597e-05
2019-10-01 00:14:00,-1.836614751733745e-05,-7.325798617086043e-05,5.543032409693893e-05,1.482788532147783e-05,8.006853871184161e-05,6.794683540223279e-05,2.00190180679636e-05,4.721225367454451e-05,4.974803635882097e-05
2019-10-01 00:15:00,-9.183200253573554e-06,8.140041270116027e-06,0.0,-1.482788532147783e-05,-0.00019217526443204846,7.549363400027875e-06,-1.0009458938846296e-05,3.2937461644344523e-05,-3.045727022588096e-06
2019-10-01 00:16:00,1.8366316176562925e-05,8.139975010368339e-06,0.0,1.482788532147783e-05,4.804727853124913e-05,1.509855582337849e-05,0.0,4.391492800870367e-05,-9.137236726797227e-06
2019-10-01 00:17:00,0.0,-8.139975010368339e-06,0.0,-2.9655990512467145e-05,0.0,-9.059475462563915e-05,-1.0009559129117306e-05,-2.1957222938961962e-05,2.0304857125452713e-05
2019-10-01 00:18:00,0.0,2.4419726256053043e-05,0.0,0.0,6.405944718895773e-05,-1.5099923745764965e-05,1.0009559129117306e-05,-1.097879226730214e-05,-1.3198110234036164e-05
2019-10-01 00:19:00,0.0,4.0698218644691364e-05,4.618958979829557e-05,0.0,-4.8044200673835746e-05,-7.550047376625457e-06,1.0009458938846296e-05,-5.160193826814208e-05,1.7259032185190648e-05
2019-10-01 00:20:00,1.8365978861192844e-05,0.0,-4.618958979829557e-05,0.0,4.8044200673835746e-05,-4.530148136616674e-05,-0.00011010955912251917,2.6350258618190736e-05,-3.959469248915326e-05
2019-10-01 00:21:00,1.8365641558409918e-05,8.139444971327903e-06,3.6951842514731936e-05,0.0001334450319654401,6.405534383902012e-05,-4.53035336833163e-05,1.0010460931822842e-05,-1.646883026840129e-05,-2.436674386308013e-05
2019-10-01 00:22:00,2.7547829921412137e-05,1.627869119352754e-05,2.7712985845695925e-05,5.930318756375286e-05,3.202613332753401e-05,-1.5101633997205433e-05,8.008008012273273e-05,-6.587608050612204e-06,-7.107078802803812e-06
2019-10-01 00:23:00,-9.182525653600448e-06,-1.627869119352754e-05,9.237107313975201e-05,8.894818773941271e-05,-1.6012938454712522e-05,7.550845506021364e-06,0.00012010809743206844,4.391743522180747e-06,1.4214107095344986e-05
2019-10-01 00:24:00,0.0,0.0,9.236638049081591e-06,1.4823928785878682e-05,4.8038046141729573e-05,-7.550845506021364e-06,-2.0017014463092394e-05,-0.0004941921541599115,-5.7872985058882165e-05
2019-10-01 00:25:00,4.5911785104074676e-05,0.0,3.694569906276257e-05,0.00017787000713925805,0.00020813820451881515,-7.550902521524794e-06,-9.008152383985875e-05,-0.00012083968214104956,-9.544697623109499e-05
