0,EURUSD,GBPUSD,USDJPY,AUDUSD,NZDUSD,USDCAD,USDCHF,USDNOK,USDSEK
2019-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01 00:01:00,-3.6738705148309236e-05,-3.256215301247756e-05,-0.00012931711345220975,1.4837125455524625e-05,-6.408613178326972e-05,2.2643645627928866e-05,2.0015011259132045e-05,4.828723001271129e-05,-7.10536907044812e-06
2019-10-01 00:02:00,0.0001469467228932403,2.4421714161310115e-05,-5.5426739721475826e-05,2.9673590506651415e-05,1.6021917984221368e-05,-2.2643645627928866e-05,-4.0030423126846855e-05,-0.00011413721061082072,-5.2784322256638205e-05
2019-10-01 00:03:00,6.428240179615075e-05,6.512165541555648e-05,-9.238088638952036e-06,0.00016318901032402744,0.00012816610344540402,-0.00010567712628423154,-8.006565387910856e-05,-8.670908831920343e-05,-6.902985645540483e-05
2019-10-01 00:04:00,-9.182947266844765e-06,-8.139975010368339e-06,0.0,4.450147226453538e-05,0.0001121318671930549,-7.548793514167151e-06,1.0008557316654675e-05,-1.0976315856225938e-06,-1.015185139330299e-05
2019-10-01 00:05:00,0.0,0.0,0.00013856236945297695,0.00013349253574052033,4.8052665730990984e-05,0.0,-2.0017214805420408e-05,1.0976315856225938e-06,4.263708330531912e-05
2019-10-01 00:06:00,-6.42829921199406e-05,-2.442032259347693e-05,9.23680868236687e-06,-1.4831623988909026e-05,-6.407073411240916e-05,6.038875261310528e-05,-1.0008757662882022e-05,1.097624959145449e-05,1.1166554747088497e-05
2019-10-01 00:07:00,2.7550359763497956e-05,-1.6280546375591065e-05,-7.389685849279459e-05,-0.0001779966481997297,0.0,0.0,-1.0008857839336827e-05,-1.2073881177077084e-05,-1.0151361879984222e-06
2019-10-01 00:08:00,3.673263235644264e-05,3.2560827698951966e-05,-3.6950477127817294e-05,0.0001779966481997297,8.008777624551877e-05,-1.509684626904706e-05,0.0,1.0976261639150664e-05,-6.192525623527345e-05
2019-10-01 00:09:00,2.7548588825254683e-05,8.953680986334422e-05,-4.619001649786014e-05,1.4831623988909026e-05,0.00012812710226051127,-9.058586413779324e-05,0.0,-3.73197811347481e-05,0.0
2019-10-01 00:10:00,0.0,-8.139378721155888e-06,9.238173983128206e-06,8.898512471211539e-05,9.608455448190112e-05,0.0,0.0,6.585944934744958e-06,-3.2486913867924017e-05
2019-10-01 00:11:00,-9.182778617111698e-06,-8.139444971327903e-06,5.542725174567664e-05,8.897720706424472e-05,-0.00012811479102797785,-7.549192425182483e-06,1.0008857839336827e-05,5.4882543127909855e-06,2.0304630368173093e-06
