0,EURUSD,GBPUSD,USDJPY,AUDUSD,NZDUSD,USDCAD,USDCHF,USDNOK,USDSEK
2019-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01 00:01:00,-0.00010103747120995821,-0.00011397217463107734,-4.618745641860045e-05,-2.967535165498969e-05,-8.011087349169e-05,5.283716718529341e-05,4.003162498912322e-05,4.390046886415533e-05,9.034537826080324e-05
2019-10-01 00:02:00,0.00010103747120995821,8.141002161859978e-05,-3.6951501159343536e-05,2.967535165498969e-05,1.602268812667118e-05,0.0,-1.0007756010835343e-05,-5.487588721964087e-05,-3.8573432654676054e-05
2019-10-01 00:03:00,0.00012857838247742892,1.6281209043067513e-05,-3.695286662264152e-05,8.902077157219024e-05,4.806652407851608e-05,-0.00010567712628423154,-9.007431136787429e-05,-8.780768366767333e-05,-0.00012283584324723762
2019-10-01 00:04:00,3.673364434902959e-05,5.6982144253314715e-05,-2.7715546113249445e-05,0.00010384755188735939,0.00012816610344540402,-7.548793514167151e-06,1.0008657488765733e-05,-2.1953125687090846e-05,2.944137030480576e-05
2019-10-01 00:05:00,2.7549347770911004e-05,8.140041270116027e-06,1.8477116092263657e-05,7.417022069039492e-05,0.0001121318671930549,0.0,-3.002627299098458e-05,1.0976623086023096e-05,1.2182382448155948e-05
2019-10-01 00:06:00,-8.265032031717912e-05,-5.698168040518814e-05,0.0001847523861400191,0.00010382906778227952,-1.601806838141817e-05,1.5097530044305696e-05,1.0008857839336827e-05,2.853865616048168e-05,3.6546256906078156e-05
2019-10-01 00:07:00,9.183706268456326e-06,0.0,-9.237192638966718e-05,-0.00019283399278030577,-0.00011213366344420272,4.529122256879958e-05,-1.0008857839336827e-05,-5.598043979038181e-05,1.827262760389914e-05
2019-10-01 00:08:00,9.183621928782193e-06,-8.140505118242602e-06,-2.7713241850690906e-05,2.9669188549907854e-05,8.009675692510765e-05,-1.509684626904706e-05,0.0,2.744178362990013e-05,-6.192525623527345e-05
2019-10-01 00:09:00,5.509996052559252e-05,4.8842036722590576e-05,-3.695218387811394e-05,0.0001779966481997297,9.610764063150423e-05,-0.00011323361238635421,0.0,-1.6464979811559033e-05,-7.106422226232922e-06
2019-10-01 00:10:00,9.183031594348079e-06,8.140107530724139e-06,-5.543083618864131e-05,-5.932869582436773e-05,1.6017042133109616e-05,2.2647748248560973e-05,-6.0055250848874164e-05,-5.488386848107041e-06,-2.7410958801432628e-05
2019-10-01 00:11:00,9.182947266844765e-06,7.325798617086043e-05,7.390709881072155e-05,0.00014831514028135206,1.6016785591543847e-05,-2.2647748248560973e-05,6.0055250848874164e-05,2.195358353773713e-06,-2.2335410866158867e-05
2019-10-01 00:12:00,0.0,-5.697796989037607e-05,-1.8476262622080242e-05,-1.4830524185105443e-05,1.6016529058471285e-05,7.54930640739504e-06,-3.002717459534834e-05,1.975800830589236e-05,6.09152516606315e-06
2019-10-01 00:13:00,0.0,5.697796989037607e-05,-9.238259327304377e-06,0.00017795177553858732,0.00014413721888156816,0.0,0.0,-0.00010867387693780373,-5.076268394521577e-06
2019-10-01 00:14:00,-1.8365978861192844e-05,-2.441873242478576e-05,1.8476433310432583e-05,2.9655550779883466e-05,8.006725653836311e-05,-1.5098669807422915e-05,-1.0009258564098794e-05,-3.4031621967134384e-05,2.741154320551331e-05
2019-10-01 00:15:00,1.8365978861192844e-05,-3.255923746559031e-05,6.466482836042786e-05,1.4827445602050293e-05,-4.80395846270687e-05,5.2844346988156765e-05,3.0027475141872423e-05,-3.2934930460637446e-05,1.9289154064239256e-05
2019-10-01 00:16:00,-1.8365978861192844e-05,8.139908751730873e-06,-6.466482836042786e-05,-1.4827445602050293e-05,-9.608609321332118e-05,-3.01964277647504e-05,-4.003683389245316e-05,0.0,-3.350245304201138e-05
2019-10-01 00:17:00,0.0,-8.139908751730873e-06,1.8476091937280614e-05,4.448167726311958e-05,0.0,5.28431502189175e-05,-1.0009458938846296e-05,3.2934930460637446e-05,2.131987271081215e-05
2019-10-01 00:18:00,9.183031594348079e-06,1.6279751245684704e-05,-9.238003298328579e-06,-5.9309342721525216e-05,0.00011209954451285586,-0.00014343790484455665,0.0,-6.477306101615454e-05,-2.436560591823067e-05
2019-10-01 00:19:00,-9.183031594348079e-06,4.883766361601927e-05,9.237619287372212e-05,0.00016309222901672582,3.202613332753401e-05,1.5099695741371821e-05,2.001881768942703e-05,-1.0978846507470053e-06,1.7259032185190648e-05
2019-10-01 00:20:00,1.8365978861192844e-05,-8.139444971327903e-06,-5.542469171437858e-05,-0.00019274821952919297,-9.608147716655413e-05,-3.7749666863762243e-05,-2.001881768942703e-05,-6.5873332166788146e-06,2.2334775957588704e-05
2019-10-01 00:21:00,3.6730945826221606e-05,2.4418136164855442e-05,-9.237747283563635e-06,0.00017792275234146393,0.00011209415921098476,-3.77510919547519e-05,-9.008963925185003e-05,-8.78317845698362e-06,-5.3807352432322375e-05
2019-10-01 00:22:00,3.672959671319198e-05,0.0,0.00010161052693824502,0.00013342129275362158,4.8036507755089275e-05,-5.285392309473114e-05,0.00012011771550537586,-2.5252067788805732e-05,-1.3198472023301377e-05
2019-10-01 00:23:00,0.0,0.0,1.8473532047202923e-05,-2.9647637826479833e-05,-6.40491897995199e-05,-7.550788491184068e-06,9.00788190276511e-05,1.866463332023116e-05,-1.218335956165717e-05
