,EURUSD,GBPUSD,USDJPY,AUDUSD,NZDUSD,USDCAD,USDCHF,USDNOK,USDSEK
2000-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,0.005430053097917567,0.0010363011077074158,0.010999283522260761,-0.0028768283903231606,-0.0017069705424960224,0.005029810445595084,-0.017809122408232625,-0.005680127372738042,-0.011836556760862038
2000-01-05,0.005977649885920144,0.0023125618874847986,0.01059229932294592,0.00030321407145589285,-0.011262885117980126,0.0006183654736872102,-0.006392248817873092,-3.7641390477460845e-05,-0.000975865265238518
2000-01-06,0.0010568286519492612,0.003519421108448162,0.011239283946931522,-0.001061651726317836,-0.0007681966961224918,0.003017627967145553,0.0010895690871213781,0.000840320374539516,0.0003214266609421479
2000-01-07,-0.007711624875714473,-0.0006665253071915789,0.003215132793227937,-0.004715196202817407,-0.0038498603854415503,0.0008898320173712504,0.0035807954368203276,0.0021415027501516803,0.004181025214099243
2000-01-10,-0.0031013787215994765,-0.005957826608387118,-0.004921456081436126,0.001675680184920647,-0.001544103761726201,-0.0020546545136642114,0.00528377586029205,0.005140886269189515,0.0050249282532446315
2000-01-11,0.0036818179368896184,0.005533442716480208,0.00869077829772813,0.0024323514576533034,0.0007723499128868827,0.00034273571984400064,-0.0027338924107467855,-0.001345057118621984,-0.0028936401489558783
2000-01-12,0.0028007164958579397,0.001030334343702366,-0.0008468596130679629,0.000910608652998135,0.002891010975701769,-0.0009599561900097697,-0.0012741289867920225,-0.002870516791647404,-0.0007099247777926365
2000-01-13,-0.005221439052925818,-0.0005453388810279236,0.00018825301260427807,0.014308550464670833,0.009004754782042657,-0.00233516589630256,0.0032458262386882986,-0.002490287294436122,-0.00042619690942080624
2000-01-14,-0.003982714478139023,-0.0012129299807144278,0.001316779723747885,-0.0010473555232869969,-0.0005723552574448121,-0.001582768798923051,0.013819434315498591,0.0034397177075504715,0.005432228757463076
2000-01-17,-0.012536892900578007,-0.005598505464505965,-0.004710768085911532,-0.0031486644200690583,-0.005165992546982023,0.00027544415543928613,0.004564362193171412,0.0050940134191108655,0.0011417340294035405
