,EURUSD,GBPUSD,USDJPY,AUDUSD,NZDUSD,USDCAD,USDCHF,USDNOK,USDSEK
2000-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,0.016833591376734635,0.012982800413298412,-0.004317118164983924,0.0031941619673998556,0.0007623404219022634,0.0,-0.016642267227060137,-0.011283493404726563,-0.013458195812828588
2000-01-05,0.005451726898311325,0.0009165623445728244,0.014350810057770502,-0.005634675686355783,-0.010726017407980848,0.003516638687030893,-0.006208615968722797,0.005437504329528942,0.0007637140739458204
2000-01-06,0.002424243611506314,0.002805564172535635,0.009454054594696615,0.004114918554939673,0.0011547345393968511,-0.002136090390176981,-0.0027646528040961016,-0.002027721272359617,-0.002711436870421302
2000-01-07,0.0003873341773999034,0.0035262682454034744,0.010411288465110857,-0.006102230987642954,-0.009858009667698453,0.007353732324629991,0.0001931309755899835,-0.0015392770961746294,-0.0010171906074898374
2000-01-10,-0.004074510875603395,-0.005416109390669721,-0.0006653676401553454,0.001987312432703281,0.0031031832505157286,-0.0024681213680836644,0.006927989734622442,0.005829158438416027,0.0069084697361749825
2000-01-11,-0.003408153647068368,-0.0011600575224071097,0.0,0.00228815598269716,-0.0011625655252429645,-0.0008927652277201936,0.0034460787134367177,0.0071050033703023985,0.004508252979049221
2000-01-12,0.008256883084523204,0.0060298017454407105,0.007483575871932047,0.0021308988276281804,0.0034836497394462596,0.0005494883028567266,-0.007096535871700782,-0.008373696347237392,-0.006746189298648453
2000-01-13,-0.002712391472100173,0.0001821548928804817,-0.0018892883004921757,0.001974634195202052,0.0036640673525912826,-0.0013742873048702142,0.0019229542493674479,0.0008920214927905512,0.002297387584442756
2000-01-14,-0.004764460371624101,-0.00012143290846733379,0.0036808120458884375,0.013564639034138515,0.007479179556763471,-0.002340631662024917,0.006128721941373538,-0.003081472739878688,0.0003566333846642955
2000-01-17,-0.01285024303796347,-0.0074966067981334095,-0.0028301905683907336,-0.0037495357014795117,-0.0049798992016858445,-0.00034467308099811467,0.014344184524805792,0.005214070926288006,0.007519054991904195
2000-01-18,-0.0008889328453405305,-0.0007343941578540902,-0.009110815607361822,-0.0018047831639708134,-0.003654904520665636,-0.00034479192149333704,0.0012539972801333121,0.002753098973326207,-0.002054722449810864
2000-01-19,0.003157066552767141,0.0031784867835389363,0.007124905455419217,0.0015042120766463607,-0.0038617541717003157,0.00027584304705624563,-0.003955428167533581,-0.0032419402412631193,-0.001798391398091237
2000-01-20,-0.002663117419483843,0.003472543012466134,-0.0028438733736884103,-0.0019559172714079254,-0.005237137370204592,0.001378075047553995,0.002638689726040644,0.00023818328943425726,0.004030047586678798
2000-01-21,0.00423792089455006,0.006063196892790057,0.0009488566989537262,0.0028573596401428314,0.0005832604423151588,-0.003794285535815345,-0.005789092432506138,-0.0027991005930787516,-0.0012391940924265654
2000-01-24,-0.013864353591105983,-0.004726135796551401,-0.0028492753628945877,-0.011478754642745725,-0.010944021679317184,-0.004780554363718215,0.014659161207770166,0.010092568831731707,0.008419815023413157
2000-01-25,0.00417952643442395,0.004423847471647313,0.003986716243820965,-0.005483639026785392,-0.004529796027212041,0.0026355959215441094,-0.004987541511039029,-0.0035401797089482656,-0.005283500802224506
2000-01-26,-0.005876218293124074,-0.0054568740272203375,0.004631169375568511,0.001068620817668564,0.004136714261144481,-0.004860445619095433,0.007099737115222993,0.003664605793793463,0.0023634140565560458
2000-01-27,-0.0004995753713335148,-0.00292255444260181,-0.003778936948625855,-0.005201174338061221,-0.001377004250237568,0.001252086974929123,-0.0006207710175138992,0.0008581182864260128,0.0010916326860073156
2000-01-28,-0.012368803671966438,-0.0005489311229297522,-0.004553655530129319,0.002909872640577349,-0.008699145408289644,-0.00306342925643599,0.01362998682500427,0.011347183629699664,0.009852756504922233
2000-01-31,-0.01119262803734815,-0.009871022180723221,0.01753108046434715,-0.023049980189695507,-0.019044376318487988,0.007917807721234182,0.00908570535656228,0.015113637810048264,0.02767898827854509
2000-02-01,-0.0063642177444816934,-0.0045079892318063974,0.002799031497149329,-0.003448819847361506,0.004644127478747873,0.0016589483309752406,0.005508655232802195,0.007838448333620907,-0.0008478169223393728
2000-02-02,0.00020593080797660923,-0.0005571893039990061,0.004925889415647866,0.0,-0.0056565807392741085,-0.00013814062737810273,0.0001810883414239406,-0.005722045427243305,-0.008050412216754843
2000-02-03,0.005748912250611922,-0.003909042299704735,0.00277752238557305,0.003135781810684135,0.00525359866652253,-0.006444705442641974,-0.004233962654743184,-0.005147626809660633,-0.00819620422020595
2000-02-04,0.013017574243748605,-0.006862160427391073,-0.005655756580915217,-0.006911746020219267,-0.0036341651142195452,0.0026383407653032265,-0.01637777991204009,-0.00435677509438781,-0.01605929747809043
2000-02-07,-0.006894481330061795,-0.0036372798158813002,-0.002513616740316138,0.005188283000587823,0.0030293873516071823,-0.0014571698793222065,0.007060658649674145,0.002411958631146849,0.00660091456420675
2000-02-08,-0.001425371856067864,0.003762467597717256,0.012781502149953994,-0.007239565771145151,-0.00383877630716567,0.006092092223339729,0.0018948081828144003,-2.4334156639937987e-05,0.001959068851987933
2000-02-09,0.003762652529867015,0.007793299832354328,0.007518143049101589,-0.0020554991820959656,-0.005277057100843807,-0.0031798727195556653,-0.0034867752101908622,-0.0050377325793209415,-0.004852518779884907
2000-02-10,0.009294873950118496,0.003781191549882601,-0.006230549750635639,0.006782895316773674,0.005479465764625546,-0.00020773465434947846,-0.00805984613517835,-0.007265707781508368,-0.007616325395268575
